payment_log_id,influencer_id,payment_basis,post_id,source,invoice_date,payment_amount
plog_15164,inf_001,Order,001,trk_inf_001_post_207,2025-04-09,96.0
plog_15165,inf_001,Order,001,trk_inf_001_post_207,2025-04-11,96.0
plog_15166,inf_001,Order,001,trk_inf_001_post_207,2025-04-07,96.0
plog_15167,inf_001,Order,001,trk_inf_001_post_207,2025-04-11,120.0
plog_15168,inf_001,Order,001,trk_inf_001_post_207,2025-04-06,72.0
plog_15169,inf_001,Order,001,trk_inf_001_post_207,2025-04-09,96.0
plog_15170,inf_001,Order,001,trk_inf_001_post_207,2025-04-07,96.0
plog_15171,inf_001,Order,001,trk_inf_001_post_207,2025-04-06,304.0
plog_15172,inf_001,Order,001,trk_inf_001_post_207,2025-04-10,96.0
plog_15173,inf_001,Order,001,trk_inf_001_post_207,2025-04-11,304.0
plog_15174,inf_001,Order,001,trk_inf_001_post_207,2025-04-07,72.0
plog_15175,inf_001,Order,001,trk_inf_001_post_207,2025-04-05,120.0
plog_15176,inf_001,Order,001,trk_inf_001_post_207,2025-04-11,120.0
plog_15177,inf_001,Order,001,trk_inf_001_post_207,2025-04-09,96.0
plog_15178,inf_001,Order,001,trk_inf_001_post_207,2025-04-11,120.0
plog_15179,inf_001,Order,001,trk_inf_001_post_207,2025-04-07,96.0
plog_15180,inf_001,Order,001,trk_inf_001_post_207,2025-04-11,304.0
plog_15181,inf_001,Order,001,trk_inf_001_post_207,2025-04-10,96.0
plog_15182,inf_001,Order,001,trk_inf_001_post_207,2025-04-05,72.0
plog_15183,inf_001,Order,001,trk_inf_001_post_207,2025-04-11,304.0
plog_15184,inf_001,Order,001,trk_inf_001_post_207,2025-04-09,96.0
plog_15185,inf_001,Order,001,trk_inf_001_post_207,2025-04-11,304.0
plog_15186,inf_001,Order,001,trk_inf_001_post_207,2025-04-10,72.0
plog_15187,inf_001,Order,001,trk_inf_001_post_207,2025-04-09,72.0
plog_15188,inf_001,Order,001,trk_inf_001_post_207,2025-04-06,304.0
plog_15189,inf_001,Order,001,trk_inf_001_post_207,2025-04-10,72.0
plog_15190,inf_001,Order,001,trk_inf_001_post_207,2025-04-08,96.0
plog_15191,inf_001,Order,001,trk_inf_001_post_207,2025-04-08,96.0
plog_15192,inf_001,Order,001,trk_inf_001_post_207,2025-04-05,72.0
plog_15193,inf_001,Order,001,trk_inf_001_post_207,2025-04-06,120.0
plog_15194,inf_001,Order,001,trk_inf_001_post_207,2025-04-06,304.0
plog_15195,inf_001,Order,001,trk_inf_001_post_207,2025-04-07,304.0
